EGNo,WhaleName,VisualGenderCode,GeneticGenderCode,GenderCode,FirstYearSighted,LastYearSighted,BirthYear,Mother,Father,DeathYear,Darted,ReDart,Tagged,AllImagesQuality,Haplotype,Cow,FirstCalvingYear,LipsLeft,LipsRight,MandibleLeft,MandibleRight,Belly,Chin,CatalogedDate,CompositeLastUpdated,WhaleNote,CreatedBy,CreatedDate,EditedBy,EditedDate,ChangeStamp
1032,THORNY,X,M,M,1980,2021,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,M,M,5,6,X,N,,,,<unknown>,1900-01-01,kmcpherson,2022-01-04,
1033,,X,M,M,1978,2016,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,2,2,X,X,,,,<unknown>,1900-01-01,kmcpherson,2022-01-04,
1034,,F,X,F,1976,1989,,,,,FALSE,FALSE,FALSE,1,D,TRUE,1986,S,M,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1035,,X,M,M,1978,2017,,,,,TRUE,FALSE,FALSE,1,B,FALSE,,N,N,2,3,X,X,,,"Because postblowholes are almost invisible, coded as 0 even though there is something there. Sex and Hap added 12/1/14 based on SampleID 611 from 4/14/03-PKH.",<unknown>,1900-01-01,kmcpherson,2022-01-04,
1036,PEACE,M,M,M,1970,2019,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,S,S,2,1,N,N,,,"Was in the database as having a genetic sex of male, but PKH removed this on 8/22/06 because it was not actually darted. Mistakenly thought to be darted as ""U"" on 9/13/89 NEA/7. Haplotype removed for the same reason on 4/10/08. UPDATE: A new sample of #1036 from 9/3/09 allowed us to confirm that SampleIDs 67 (SightingID 794- 9/13/89 ""U"" NEA/7), 68 (SightingID 990- 9/13/89 ""DD"" NEA/7), and 160200 (SightingID 70684- 9/3/09 ""H"" NEA/V) are all #1036 and it is a male based on all three samples, and Hap D based onSampleID 67. Genetic sex and Hap entered 12/8/14-PKH. Visual sex from 8/18/17 TC video- confirmed to be #1036. Named 11/14/19- Scar on right flank looks like a person holding up 2 fingers as a peace sign.",<unknown>,1900-01-01,kmcpherson,2022-01-04,
1037,,M,M,M,1980,2021,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,3,3,X,X,,,,<unknown>,1900-01-01,kmcpherson,2022-01-04,
1038,,X,X,X,1979,1987,,,,,FALSE,FALSE,FALSE,1,,FALSE,,M,S,,,X,N,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1039,LINKS,F,F,F,1980,2006,1980,1316,,,TRUE,FALSE,FALSE,1,A,TRUE,2001,N,N,,,X,X,,,"Named for scar on left back. On 11/12/15, PKH discovered that SampleID 821 from 2/19/96 dead calf  is consistent with it being 1039's calf (Hap, all 4 loci, 1039's first successful calving was 2001 at an old age, and 
1039 was seen same day as dead calf and only 2.5 miles away- ""cruising south"").",<unknown>,1900-01-01,phamilton,2015-11-12,
1041,,X,M,M,1979,1995,,,,,TRUE,FALSE,FALSE,1,E,FALSE,,N,N,,,X,N,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1042,,M,M,M,1980,2021,,,,,TRUE,FALSE,FALSE,1,A,FALSE,,N,N,2,2,N,X,,,"Black belly and male added 2/20/17 based on 4/13/2016 CCS/A sighting (HMP). Genetic sex and hap based on SampleID 204239 entered 2/26/20. Possible distinctive scar on the belly coded for 2/24/2018 CCS/A ""KK.""",<unknown>,1900-01-01,kmcpherson,2022-01-04,
1043,,X,M,M,1979,2017,,,,,TRUE,FALSE,FALSE,1,B,FALSE,,N,N,2,2,X,N,,,"Can look similar to 2740, although close up shipboards show 4 pbh, kept it as 2 as most aerials show 2 and most sightings will be aerial for this whale, Genetic sex added 9/24/07, Halpotype added 10/5/07",<unknown>,1900-01-01,kmcpherson,2022-01-04,
1045,,F,F,F,1935,1995,,,,,TRUE,FALSE,FALSE,1,D,TRUE,1935,N,N,,,N,N,,,Genetic sex confirmed with SampleID 9,<unknown>,1900-01-01,phamilton,2015-05-22,
1046,CORNELIA,F,X,F,1976,1976,,,,,FALSE,FALSE,FALSE,2,,TRUE,1976,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1047,,X,X,X,1957,2019,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,L,5,6,X,X,,,,<unknown>,1900-01-01,kmcpherson,2022-01-04,
1048,,X,M,M,1980,2020,,,,,TRUE,FALSE,TRUE,1,C,FALSE,,N,S,1,1,X,N,,,,<unknown>,1900-01-01,kmcpherson,2022-01-04,
1049,,X,X,X,1975,1975,,,,,FALSE,FALSE,FALSE,3,,FALSE,,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1050,,X,M,M,1980,2011,,,,,TRUE,FALSE,FALSE,1,B,FALSE,,N,M,,,X,X,,,Looks similar to 2209.,<unknown>,1900-01-01,mhagbloom,2018-04-25,
1051,,X,X,X,1974,1974,,,,,FALSE,FALSE,FALSE,2,,FALSE,,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1052,,M,M,M,1980,2020,,,,,TRUE,FALSE,FALSE,1,B,FALSE,,N,S,3,1,N,N,,,Visual sex on 8/24/05,<unknown>,1900-01-01,kmcpherson,2022-01-04,
1055,,X,M,M,1979,2011,,,,,TRUE,FALSE,FALSE,2,A,FALSE,,N,N,,,X,X,,,Halpotype added 10/5/07,<unknown>,1900-01-01,mmarx,2014-11-20,
1056,SNOOPY,X,M,M,1980,2021,,,,,TRUE,FALSE,FALSE,2,B,FALSE,,M,M,2,4,X,X,,,"Named for a distinctive scar on the right side of the head that looks like Snoopy- especially from the air.On 12/1/14, PKH entered Hap and genetic sex based on SampleID 179141 (5/12/2010).",<unknown>,1900-01-01,kmcpherson,2022-01-04,
1077,,X,X,X,1980,2004,,,,,TRUE,TRUE,FALSE,1,,FALSE,,N,N,,,X,N,,,"As of December 2012, the one darting sample of this whale is not at Trent. This whale should be re-darted.",<unknown>,1900-01-01,phamilton,2013-01-09,
1102,CHURCHILL,X,M,M,1980,2001,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,,,X,Y,,,"Named for his endurance during his entanglement- a fighter who would ""never surrender"". Died in 2001 though no carcass recovered. Tag stopped transmitting on September 16, 2001. He may have died and sank on that day.",<unknown>,1900-01-01,phamilton,2008-05-27,
1103,,M,M,M,1981,2021,,,,,TRUE,TRUE,FALSE,1,A,FALSE,,N,N,2,2,X,X,,,,<unknown>,1900-01-01,kmcpherson,2022-01-04,
1111,,M,X,M,1981,1988,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,N,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1112,JAVELIN,M,M,M,1980,2021,,,,,TRUE,FALSE,FALSE,1,A,FALSE,,S,S,2,1,X,X,,,A javelin is a hand thrown spear and the scar on the right side looks like a javelin in mid-flight,<unknown>,1900-01-01,kmcpherson,2022-01-04,
1113,TRIDENT,M,M,M,1981,2010,,,,2010,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,,,N,N,,,"NEAq heard from Trent that the dead whale D-UPEIX22447-10 from 8/15/2010 was Trident. However, as of Feb. 2013, there was no profile of this dead whale in the genetics database, so it is unclear where this information came from. On 12/9/13- 3 NEAq matchers confirmed that photographically we could match it to 1113. Necropsy leader sent the information and sighting history.",<unknown>,1900-01-01,phamilton,2013-12-09,
1114,,F,F,F,1979,2000,,,,,TRUE,FALSE,TRUE,1,D,TRUE,1990,N,N,,,N,N,,,"According to sattag information, this whale is believed to have died southeast of Nova Scotia in October 2000. On 1/30/13, PKH removed the ""Dead in October 2000"" from the composite. Someone contacted us from the public asking how we knew that, and in fact we do not, so I changed the composite. Also- the tag from Bruce and Mark have the last tag transmission on September 2, 2000, not in October. The data indicate she was traveling on August 31st, but did not move much at all for Sep. 1 and Sep. 2. If her lack of movement was because she had died, she likely did so between August 31 and September 1.",<unknown>,1900-01-01,phamilton,2013-02-13,
1117,,X,X,X,1981,1983,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1118,ZIPPER,F,F,F,1977,1997,1977,1007,,,TRUE,TRUE,FALSE,1,A,TRUE,1984,M,M,,,N,N,,,,<unknown>,1900-01-01,phamilton,2012-07-16,
1120,SMOOTHY,M,X,M,1981,1988,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,N,,,N,N,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1121,FIDDLE,X,M,M,1981,2021,,,,,TRUE,FALSE,TRUE,1,D,FALSE,,S,M,3,4,X,N,,,Looks similar to 4050. Grey scar behind blowholes seems to have disappeared,<unknown>,1900-01-01,kmcpherson,2021-12-29,
1122,MINNOW,X,M,M,1981,2021,,,,,TRUE,FALSE,TRUE,1,A,FALSE,,N,N,4,4,X,X,,,"Named for scar on left head. On May 29, 2017, changed hap from C to A.",<unknown>,1900-01-01,kmcpherson,2021-12-29,
1123,SONNET,F,F,F,1981,2012,1981,1142,1050,,TRUE,FALSE,FALSE,1,A,TRUE,1991,N,S,,,N,N,,,Name changed from Snotnose to Sonnet 3/14/08 because it was more palatable and started with an S. Paternity data entered 4/8/16-PKH.,<unknown>,1900-01-01,phamilton,2016-04-08,
1124,TIPS,M,M,M,1980,2010,,,,2010,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,,,Y,Y,,2011-03-23,"Haplotype and genetic sex added 11/8/10. On 11/1/13, PKH matched dead whale MJM070110 (6/27/10) to 1124 and MX confirmed it.",<unknown>,1900-01-01,phamilton,2013-11-01,
1125,,F,X,F,1981,2005,,,,,FALSE,FALSE,TRUE,2,,FALSE,,S,S,,,X,X,,,,<unknown>,1900-01-01,<unknown>,1900-01-01,
1126,BITE,X,M,M,1980,1991,,,,,TRUE,FALSE,FALSE,1,E,FALSE,,N,N,,,X,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1127,DASH,F,F,F,1966,1994,,,,,TRUE,FALSE,TRUE,1,D,TRUE,1976,M,M,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1128,FRIEND,M,X,M,1981,1983,1981,1127,,1983,FALSE,FALSE,FALSE,1,D,FALSE,,M,M,,,Y,Y,,,,<unknown>,1900-01-01,aknowlton,2012-07-26,
1130,ZEBRA,M,M,M,1980,2000,,,,,TRUE,TRUE,FALSE,1,A,FALSE,,N,N,,,Y,Y,,,,<unknown>,1900-01-01,phamilton,2012-07-16,
1131,SNOWBALL,X,M,M,1979,2014,,,,,TRUE,FALSE,FALSE,1,E,FALSE,,N,N,,,X,N,,,,<unknown>,1900-01-01,<unknown>,1900-01-01,
1132,MYSTERY,M,X,M,1980,1989,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,N,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1133,PORTER,X,M,M,1981,2011,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,,,X,N,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1134,CRESCENT,M,X,M,1981,1987,1981,1157,,,FALSE,FALSE,FALSE,1,A,FALSE,,N,S,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1135,STRIPE,F,F,F,1967,1996,,,,,TRUE,FALSE,TRUE,1,D,TRUE,1967,N,N,,,Y,Y,,,,<unknown>,1900-01-01,<unknown>,1900-01-01,
1136,DRIFT,M,X,M,1981,1999,,,,,FALSE,FALSE,TRUE,1,,FALSE,,N,N,,,X,N,,,,<unknown>,1900-01-01,<unknown>,1900-01-01,
1138,PELE,M,X,M,1981,1993,1981,1145,,,FALSE,FALSE,TRUE,1,D,FALSE,,N,S,,,N,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-15,
1140,WART,F,F,F,1981,2014,,,,,TRUE,FALSE,TRUE,1,D,TRUE,1982,S,S,,,N,N,,2011-03-23,Blk chin added based on 4/21/2010 CCS/A -MNH 3/2014,<unknown>,1900-01-01,mhagbloom,2014-03-12,
1142,KLEENEX,F,F,F,1977,2018,,,,,TRUE,FALSE,FALSE,1,A,TRUE,1977,N,N,4,3,Y,Y,,,,<unknown>,1900-01-01,kmcpherson,2021-12-29,
1144,DINGLE,M,M,M,1980,2004,,,,,TRUE,FALSE,FALSE,1,C,FALSE,,N,M,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-22,
1145,GRAND TETON,F,F,F,1981,2021,,,,,TRUE,FALSE,FALSE,1,D,TRUE,1981,S,S,3,4,N,X,,,"Similar to 1950 and1208, Named for the mountain range and in honor of Lindy Johnson’s favorite spot. She fought for right whales on the shipping issue with the IMO, coast guard and navy.. 

See prints from 2/12/02 for chin and rt mandible scar. ARK 1/27/14",<unknown>,1900-01-01,kmcpherson,2021-12-29,
1146,VAN HALEN,M,X,M,1977,2015,,,,,FALSE,FALSE,TRUE,1,,FALSE,,N,N,,,X,N,,2016-07-01,Left head looks like #2406.,<unknown>,1900-01-01,phamilton,2016-07-01,
1147,KING RICHARD,M,M,M,1977,1992,,,,,TRUE,TRUE,FALSE,1,C,FALSE,,N,S,,,Y,Y,,,name changed from Dick to King Richard 3/14/08,<unknown>,1900-01-01,phamilton,2012-07-16,
1149,CREAM,M,M,M,1981,2021,,,,,TRUE,FALSE,FALSE,1,A,FALSE,,M,M,1,1,Y,N,,,1st detection of prop (?) scar from 7/7/16? ARK: not sure this is actually a prop cut based on subsequent images but have kept it in for now. 8/31/2021,<unknown>,1900-01-01,kmcpherson,2021-12-29,
1150,GEMINI,X,M,M,1979,2021,,,,,TRUE,FALSE,FALSE,1,C,FALSE,,S,S,3,4,X,N,,,,<unknown>,1900-01-01,kmcpherson,2021-12-22,
1151,MAVYNNE,F,F,F,1980,2012,,,,,TRUE,FALSE,FALSE,1,C,TRUE,1987,L,L,,,N,N,,,"Had been named Polynesia. Named Mavynne after Mavynee Betsch who had huge hair similar to the whale's peaky callosity, realized the name is spelled incorrectly- should be Mavynee- but decided not to change it since it is referenced in print in many places with the current spelling. In 1997, Mavynne's calf, #1707, was actually the biological calf of #1004. They swapped calves on the calving grounds and raised each other's calves. We kept #1707 as Mavynne''s calf in the Catalog because that matches all photo-ID records. Mavynne's biological calf is #1705. See Frasier et al. 2010.",<unknown>,1900-01-01,phamilton,2014-09-30,
1152,NECKLACE,M,M,M,1981,2016,,,,,TRUE,FALSE,TRUE,1,D,FALSE,,M,M,1,1,N,N,,,,<unknown>,1900-01-01,kmcpherson,2021-12-22,
1153,LIMPET,F,X,F,1980,1998,1980,1014,,,FALSE,FALSE,TRUE,1,A,TRUE,1993,N,N,,,Y,Y,,,,<unknown>,1900-01-01,aknowlton,2012-07-26,
1154,GRAY,M,M,M,1981,2013,,,,,TRUE,FALSE,FALSE,1,E,FALSE,,S,S,,,X,X,,,Some sightings after 2001 were CT39. Sexed genetically from 5/5/02 sighitng. Sex entered 5/27/08. Haplotype added by PKH on 6/13/13- SampleID 599,<unknown>,1900-01-01,phamilton,2013-06-13,
1155,CRABSCAR,M,M,M,1981,2007,,,,,TRUE,FALSE,FALSE,1,A,FALSE,,N,N,,,N,N,,,,<unknown>,1900-01-01,aknowlton,2008-07-15,
1156,MISSTIP,M,M,M,1981,2011,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,S,M,,,N,X,,,Visual sex seen on 11/16/11 NEFSC/T flight. Visual sex added 3/4/13.,<unknown>,1900-01-01,mmarx,2013-06-17,
1157,MOON,F,F,F,1980,2001,,,,,TRUE,FALSE,FALSE,1,A,TRUE,1981,S,M,,,Y,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-13,
1158,BUD,F,F,F,1981,2021,,,,,TRUE,FALSE,FALSE,1,C,TRUE,1991,S,S,3,4,N,N,,,"The dead calf from 1/10-11/98 is genetically assigned to her and she was in the SEUS that year. Need to test the 12/6/08 dead calf to determine if it was hers as well. Named Bud because she has one of the longest associations of any right whale- repeatedly with 1301- they are good buds. Also named for the three bud-like islands, and after Bud Ris- the Director of the NEAq.",<unknown>,1900-01-01,kmcpherson,2021-12-22,
1159,,X,X,X,1980,1981,,,,,FALSE,FALSE,FALSE,2,,FALSE,,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-13,
1160,BOLO,F,X,F,1981,2005,,,,2005,TRUE,FALSE,FALSE,1,A,TRUE,1981,N,N,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-13,
1161,,M,X,M,1981,1989,1981,1160,,,FALSE,FALSE,FALSE,1,A,FALSE,,M,M,,,Y,Y,,,,<unknown>,1900-01-01,<unknown>,1900-01-01,
1162,,M,X,M,1980,2014,,,,,TRUE,TRUE,FALSE,2,,FALSE,,M,M,,,N,N,,,"This whale was darted as ""JJ"" on 9/13/05, but the sample was used up trying to, but unsuccessfully, profile it. Gen Prob 46. Needs to be re-darted.",<unknown>,1900-01-01,phamilton,2014-10-24,
1163,STARS,F,F,F,1981,1992,1981,1135,1035,,TRUE,FALSE,TRUE,1,D,TRUE,1986,N,N,,,Y,Y,,,Paternity data entered 4/8/16-PKH.,<unknown>,1900-01-01,phamilton,2016-04-08,
1166,,M,M,M,1981,1993,,,,,TRUE,TRUE,FALSE,1,D,FALSE,,N,N,,,N,N,,,,<unknown>,1900-01-01,phamilton,2012-07-16,
1167,HOUDINI,M,M,M,1981,2015,,,,,TRUE,FALSE,FALSE,1,C,FALSE,,N,S,,,X,N,,,Named for multiple escapes from entanglements. Genetic sex added 11/8/10.,<unknown>,1900-01-01,phamilton,2010-11-08,
1168,PENDULUM,F,F,F,1978,1992,,,,,TRUE,TRUE,FALSE,1,D,TRUE,1984,M,M,,,X,N,,,"There was confusion about the haplotype for this whale (Gen Prob 4). On 3/13/15, PKH and Brenna Frasier determined that sample ID 223 from 9/25/88 ""G"" was the sample from which the correct haplotype was determined. 1168 had been hap D in our database for a long time- so no new data were entered.",<unknown>,1900-01-01,jharrison,2017-05-12,
1169,,X,X,X,1980,1981,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-10,
1170,LEGS,M,M,M,1981,2017,1981,1171,1279,,TRUE,FALSE,FALSE,1,B,FALSE,,M,L,2,1,Y,Y,,,Named for small legs off bottom of left lip callosity.  Paternity data entered 4/8/16-PKH.,<unknown>,1900-01-01,kmcpherson,2021-12-22,
1171,CRIMP,F,F,F,1981,1992,,,,,TRUE,FALSE,FALSE,1,B,TRUE,1981,S,S,,,Y,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-10,
1173,2 DOT,X,X,X,1981,2021,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,N,3,4,X,N,,,,<unknown>,1900-01-01,kmcpherson,2021-12-22,
1174,,X,M,M,1981,2013,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-10,
1175,,F,X,F,1981,2009,,,,,FALSE,FALSE,FALSE,1,B,TRUE,1981,N,N,,,X,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-10,
1176,,X,M,M,1981,2021,,,,,TRUE,FALSE,FALSE,1,C,FALSE,,M,L,3,4,X,N,,,BLK CH from 8/23/1998 NEA/7.,<unknown>,1900-01-01,kmcpherson,2021-12-22,
1177,,X,X,X,1981,2021,,,,,FALSE,FALSE,FALSE,1,,FALSE,,S,M,1,1,X,X,,,,<unknown>,1900-01-01,kmcpherson,2021-12-22,
1179,,F,F,F,1981,2005,,,,,TRUE,FALSE,FALSE,2,B,TRUE,1994,N,S,,,N,N,,,On 14-Oct-2005- determined that 1179 was the 1994 mom of 2479 based on genetic and behavioral data,<unknown>,1900-01-01,Cborutskie,2009-04-10,
1201,ANCHOR,F,F,F,1979,1996,,,,,TRUE,FALSE,FALSE,1,C,TRUE,1982,N,N,,,N,X,,,,<unknown>,1900-01-01,<unknown>,1900-01-01,
1202,,X,X,X,1982,1988,,,,,FALSE,FALSE,TRUE,1,,FALSE,,M,L,,,X,Y,,,USED TO BE #1432,<unknown>,1900-01-01,jharrison,2017-05-12,
1203,SENATOR,M,M,M,1982,2015,,,,,TRUE,FALSE,FALSE,1,A,FALSE,,N,N,,,Y,Y,,2015-10-05,,<unknown>,1900-01-01,phamilton,2015-10-05,
1204,SPINDLE,F,F,F,1982,2021,,,,,TRUE,FALSE,FALSE,1,A,TRUE,1988,N,N,5,4,X,N,,,"Looks like 2042 from the air. 3810, 4290 from vessel. Blk ch added based on 3/7/2009 GDNR ""D"". -MNH 3/2014. On 12/1/14, PKH entered Hap and genetic sex based on SampleID 179132 (3/7/2009). Named in 2021 for the symmetrical peninsulas that resemble a spindle on a bannister.",<unknown>,1900-01-01,kmcpherson,2021-12-15,
1206,,X,X,X,1982,1989,,,,,FALSE,FALSE,FALSE,1,,FALSE,,S,M,,,X,N,,,,<unknown>,1900-01-01,jharrison,2017-05-12,
1207,,M,M,M,1980,2017,,,,2017,TRUE,FALSE,FALSE,4,A,FALSE,,M,M,1,1,N,N,,,Visual sex 3/27/05. 8/17/11 LMC changed to black belly based on 3/27/05 sighting by PCCS/A. This is dead whale #6 from GSL in 2017.,<unknown>,1900-01-01,kmcpherson,2021-12-15,
1208,MEDUSA,F,F,F,1981,2021,,,,,TRUE,FALSE,FALSE,1,D,TRUE,1985,M,M,4,4,Y,Y,,,"SIMILAR TO 1145,1950, 3640. Named in 2022 for type of jellyfish that resembles bonnet and islands ",<unknown>,1900-01-01,awarren,2023-01-25,
1209,EL,F,F,F,1980,2021,,,,,TRUE,FALSE,FALSE,1,D,FALSE,,S,S,3,3,N,N,,,"Named El for the ""L"" shaped pattern of the islands. Can look like 2912, 3541. Can look very similar to 3991--cincher is L mandibulars.",<unknown>,1900-01-01,kmcpherson,2021-12-15,
1217,PEGLEG,X,X,X,1981,1988,,,,,FALSE,FALSE,FALSE,1,,FALSE,,N,N,,,X,Y,,,,<unknown>,1900-01-01,Cborutskie,2009-04-10,
1218,ARGO,M,M,M,1981,2021,,,,,TRUE,FALSE,FALSE,1,A,FALSE,,N,N,3,1,Y,Y,,,Named for the small scar in the middle of the head that represents Jason's ship Argo as it went between the Clashing Rocks (the coaming and the bonnet).,<unknown>,1900-01-01,kmcpherson,2021-12-15,
1219,,F,X,F,1981,1989,,,,1989,FALSE,FALSE,FALSE,1,D,TRUE,1987,M,M,,,N,N,,,,<unknown>,1900-01-01,aknowlton,2012-07-26,
1222,SCIMITAR,F,X,F,1979,1985,,,,,FALSE,FALSE,FALSE,1,,TRUE,1982,N,N,,,N,X,,,,<unknown>,1900-01-01,Cborutskie,2009-04-10,
1223,DELILAH,F,F,F,1981,1992,,,,1992,TRUE,FALSE,FALSE,1,A,TRUE,1992,S,S,,,Y,Y,,,Named for her white belly patch which was shaped like a goblet,<unknown>,1900-01-01,phamilton,2015-02-27,
